ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
0.001234568,0.5,green,10,C,492.8184423,334.8533415,65.24520627,36.35690932,239.3838104,337,487,345,467,9771,271.875,361,27.52204622,54.44935623,205.6619718,353.5,269,345,268,72,0.736874424,494.458604,334.6592432,62.59301194,36.12229291,282.8629291,336,487,345,467,9699,99.26312558
0.000411523,0.5,green,10,C,503.5884103,333.9906667,64.39743451,35.78403977,283.1190425,336,496,345,478,9750,267.1612903,336.1290323,34.19073634,36.35082937,336.1784946,333,268,345,268,31,0.317948718,504.342525,333.9838461,63.06955977,35.78391286,284.6022614,336,497,345,478,9719,99.68205128
0.000137174,0.5,green,10,C,502.256079,333.3485604,61.48529448,36.34077036,272.5992749,336,496,345,486,9829,261.8709677,328.7419355,25.96759768,34.39182824,75.33225806,333,262,322,231,31,0.315393224,503.016636,333.3631353,60.05759738,36.34750558,269.7161181,336,496,345,486,9798,99.68460678
4.57E-05,0.5,green,10,C,502.7591516,332.8959927,60.9150657,37.09706347,294.6302605,336,497,345,469,9807,261.9259259,320.8518519,28.61538844,37.4286025,-420.011396,317,260,345,240,27,0.275313552,503.4240286,332.9292434,59.65006568,37.09266143,288.529648,336,497,345,469,9780,99.72468645
1.52E-05,0.5,green,10,C,505.1822821,332.7060625,61.77843076,36.34692637,273.1237085,334,500,345,462,9798,259.1481481,333.5555556,26.36096138,38.55099852,244.9529915,342,262,302,262,27,0.275566442,505.8621431,332.7037151,60.47746842,36.34271541,273.8058244,334,500,345,462,9771,99.72443356
5.08E-06,0.5,green,10,C,508.3280993,334.4524836,63.80508596,36.45811134,285.8211444,336,502,345,488,9744,260.04,335.28,33.46699867,33.77563224,65.155,341,257,316,229,25,0.256568144,508.9667661,334.450355,62.6082929,36.46634305,286.925444,336,502,345,488,9719,99.74343186
0,0.5,green,10,C,505.5698301,334.9643983,62.56551871,35.90965767,344.8146938,337,499,345,487,9831,265.3076923,323.8076923,34.06789601,39.19797875,539.5415385,326.5,253,345,229,26,0.264469535,506.2069352,334.9939827,61.38706541,35.89810971,337.2257455,337,499,345,487,9805,99.73553046
10,0.16,green,10,C,257.9189189,491.2221873,32.78667216,64.10525798,168.9745388,488,255,464,255,9546,256.1451187,492.1201055,24.54863698,63.16828598,383.8407067,488,255,464,255,9475,99.25623298,494.6338028,371.3943662,88.07127624,75.06729911,76.61790744,352,482,373,613,71,0.743767023
0.1,0.16,green,10,C,260.239162,491.456648,34.05357453,62.46959586,347.2658407,489,260,478,274,9642,258.7060113,492.2263619,26.35399432,61.64549117,548.4288343,490,260,478,274,9582,99.37772246,505.0833333,368.5333333,123.9452164,71.52609259,-1514.841808,358,470.5,359,373,60,0.622277536
0.033333333,0.16,green,10,C,269.3425523,471.033872,51.626593,63.00052038,-350.552783,472,262,462,260,9654,262.2732415,474.3842459,27.29116909,59.4357423,454.9293692,474,262,462,260,9369,97.04785581,501.7368421,360.8947368,100.8866897,76.39608707,-454.1721646,350,498,324,447,285,2.952144189
0.011111111,0.16,green,10,C,372.1608749,367.3762265,112.4158103,60.90980131,-2910.787507,357,347,345,268,9784,271.9518739,400.391184,25.8420084,60.90238072,19.31233388,397,271,345,268,4696,47.99672935,464.7849695,336.9144206,76.4732541,42.1641574,256.0465293,337,460,345,475,5083,51.9521668
