ahl,iptg,previous_state,time,data,ALL_meanGreen,ALL_meanRed,ALL_sdGreen,ALL_sdRed,ALL_cov,ALL_medianRed,ALL_medianGreen,ALL_modeRed,ALL_modeGreen,ALL_nEvent,gateRED_meanGreen,gateRED_meanRed,gateRED_sdGreen,gateRED_sdRed,gateRED_cov,gateRED_medianRed,gateRED_medianGreen,gateRED_modeRed,gateRED_modeGreen,gateRED_nEvent,gateRED_percentageEvent,gateGREEN_meanGreen,gateGREEN_meanRed,gateGREEN_sdGreen,gateGREEN_sdRed,gateGREEN_cov,gateGREEN_medianRed,gateGREEN_medianGreen,gateGREEN_modeRed,gateGREEN_modeGreen,gateGREEN_nEvent,gateGREEN_percentageEvent
0.001234568,0.5,red,10,A,321.9344941,361.7863892,80.24682444,42.95585873,-494.21478,361,297,345,265,9419,274.855991,369.0782132,29.24822686,42.60420823,87.78320071,367,273,345,265,6201,65.83501433,412.7517113,347.7261979,68.53255754,40.0313488,321.0985079,348,398,350,341,3214,34.12251831
0.000411523,0.5,red,10,A,492.6751937,336.6284895,64.72931396,35.85164897,188.5948172,339,486,345,458,9421,275.963964,356.1441441,30.19570347,44.7836916,143.9506962,355,275,333,282,111,1.178218873,495.2589689,336.395811,60.5177669,35.67033206,240.1733483,339,487,345,458,9310,98.82178113
0.000137174,0.5,red,10,A,491.025031,334.9936803,62.2794594,34.93491404,162.3993403,337,485,345,463,8070,254.8421053,340.9122807,29.57423437,36.57198416,135.9680451,347,253,347,233,57,0.706319703,492.7051042,334.9515787,59.16532107,34.92178911,172.6200175,337,486,345,463,8013,99.2936803
4.57E-05,0.5,red,10,A,490.5702316,335.3737063,61.92661466,35.41691404,206.6109042,338,484,345,469,8116,253.3148148,327.2777778,33.59965413,43.43132365,378.6844864,336,244,345,244,54,0.66535239,492.1593897,335.4279335,58.93694808,35.35415944,192.5516816,338,484,345,469,8062,99.33464761
1.52E-05,0.5,red,10,A,490.9052427,334.8840774,62.03125457,35.16741076,166.0777003,337,485,345,458,8221,263.3934426,337.2459016,29.7160331,36.88751177,212.0849727,339,265,357,271,61,0.74200219,492.6060049,334.8664216,58.99378973,35.15600795,169.807151,337,485,345,458,8160,99.25799781
5.08E-06,0.5,red,10,A,492.4394003,334.5494088,61.45367557,35.12848474,189.7253047,336,485,345,479,9472,252.0277778,331.7222222,24.60486144,32.75241418,110.8936508,336.5,257,317,213,36,0.380067568,493.356613,334.560195,59.72725413,35.13842535,187.4345462,336,486,345,479,9436,99.61993243
0,0.5,red,10,A,487.7019215,335.1282093,61.3721515,35.30783827,142.0837652,337,481,345,454,6193,252.125,335.4375,24.02536337,32.59350297,118.6462766,337.5,251,331,251,48,0.775068626,489.5420667,335.1257933,57.91889615,35.33065942,142.8598604,337,482,345,454,6145,99.22493137
10,0.16,red,10,A,258.7704525,415.8578092,26.46660565,57.41981145,70.26929784,413,258,392,257,7933,258.0053124,416.118897,22.8024261,57.30726821,128.0836188,414,258,392,257,7906,99.65964957,482.8148148,339.4074074,57.5426511,35.48700657,343.0014245,334,482,343,447,27,0.340350435
0.1,0.16,red,10,A,260.2380135,440.5283707,24.42535193,60.46913537,201.1858555,439,262,464,250,9323,260.0776084,440.612924,23.49093974,60.40918463,218.8169464,439,262,464,250,9316,99.92491687,473.7142857,328,130.3824046,27.06165799,909.3333333,331,476,299,398,7,0.075083128
0.033333333,0.16,red,10,A,261.0511116,441.3827376,24.35418719,60.60526306,219.1930786,440,263,449,250,9176,260.9361029,441.4412823,23.85177912,60.56010032,231.4099882,440,263,449,250,9171,99.94551003,472,334,24.67792536,52.10086372,597.5,340,471,392,471,5,0.054489974
0.011111111,0.16,red,10,A,263.674751,435.2379818,24.71678441,54.98856003,253.869507,433,263,445,258,9236,263.614818,435.2674393,24.47840957,54.97313699,258.4546652,433,263,445,258,9232,99.95669121,402,367.25,106.6552077,55.53602434,-1225.333333,366,363.5,337,559,4,0.043308792
0.003703704,0.16,red,10,A,264.6760667,388.3607296,27.49984473,47.7720896,182.7582989,386,265,381,265,9539,263.9867354,388.5050005,24.6905513,47.64363363,197.0768193,386,265,381,265,9499,99.58066883,428.375,354.1,94.24754299,64.16157489,2476.807692,341.5,394,377,341,40,0.419331167
0.001234568,0.16,red,10,A,398.3846637,349.4044356,106.553489,41.39223429,-1186.793588,348,412,345,265,9559,273.5750779,368.5735202,31.28249837,43.46016881,98.37091979,366,271,345,265,3210,33.58091851,461.5825977,339.6790668,68.79427884,36.65142437,-11.46536828,342,461,345,458,6344,66.36677477
0.000411523,0.16,red,10,A,501.8922068,333.9709708,61.43911339,35.2997907,105.3782441,336,497,345,458,9611,278.5,348.0128205,30.77093839,48.25432989,78.43506494,348,277.5,343,233,78,0.811570076,503.7200252,333.8560789,58.19192577,35.15445289,131.4856142,336,497,345,458,9533,99.18842992
0.000137174,0.16,red,10,A,496.8921097,333.1847486,59.7780089,35.51143786,151.9169637,336,491,345,493,8314,262.027027,335.8108108,31.21652561,34.44870409,168.4496997,331,258,361,271,37,0.445032475,497.942008,333.1730095,57.77049993,35.51770035,154.6331615,336,492,345,493,8277,99.55496752
